db_id,table_catalog,table_schema,table_name,column_name,data_type,extra
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,station_id,INT64,pattern=^[A-Z]{3}XXXX[0-9]{2}$
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,name,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,status,STRING,list=active|closed
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,address,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,alternate_name,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,city_asset_number,INT64,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,property_type,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,number_of_docks,INT64,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,power_type,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,footprint_length,INT64,range=20|40
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,footprint_width,FLOAT64,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,notes,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,council_district,INT64,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_stations,modified_date,TIMESTAMP,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,trip_id,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,subscriber_type,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,bike_id,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,bike_type,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,start_time,TIMESTAMP,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,start_station_id,INT64,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,start_station_name,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,end_station_id,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,end_station_name,STRING,
bigquery,bigquery-public-data,austin_bikeshare,bikeshare_trips,duration_minutes,INT64,
